10,5,47.222,11,10,4.83E-10,-8.70E-09,,-1,,
10,50,57.778,9,10,5.73E-10,1.40E-08,,1,,
10,5,47.222,9,10,6.05E-10,8.00E-09,,1,,
10,45,57.778,9,10,6.99E-10,1.42E-08,,1,,
8,5,47.222,11,10,8.29E-10,-8.65E-09,,-1,,
10,50,57.778,11,10,8.62E-10,-1.54E-08,,-1,,
10,45,57.778,11,10,1.03E-09,-1.56E-08,,-1,,
10,40,57.778,9,10,1.10E-09,1.43E-08,,1,,
6,5,47.222,11,10,1.23E-09,-8.56E-09,,-1,,
8,5,47.222,9,10,1.24E-09,7.99E-09,,1,,
10,50,57.778,7,10,1.29E-09,3.76E-08,,3,,
10,45,57.778,7,10,1.52E-09,3.82E-08,,3,,
10,40,57.778,11,10,1.52E-09,-1.56E-08,,-1,,
8,5,47.222,9,15,1.61E-09,5.69E-08,,6,,
10,50,68.333,9,10,1.69E-09,1.17E-08,,1,,
6,5,47.222,9,10,1.71E-09,7.94E-09,,1,,
10,45,68.333,9,10,1.71E-09,1.19E-08,,1,,
10,50,68.333,11,10,1.73E-09,-1.30E-08,,-1,,
4,5,47.222,11,10,1.76E-09,-8.44E-09,,-1,,
10,45,68.333,11,10,1.78E-09,-1.32E-08,,-1,,
10,40,68.333,9,10,1.91E-09,1.20E-08,,1,,
4,5,36.667,9,10,1.93E-09,8.65E-09,,1,,
10,40,68.333,11,10,2.07E-09,-1.33E-08,,-1,,
4,5,47.222,9,10,2.09E-09,7.84E-09,,1,,
10,35,57.778,9,10,2.10E-09,1.40E-08,,1,,
8,50,57.778,9,10,2.14E-09,1.43E-08,,1,,
2,5,36.667,9,10,2.15E-09,8.51E-09,,1,,
4,5,36.667,11,10,2.21E-09,-9.32E-09,,-1,,
10,5,47.222,7,10,2.26E-09,2.18E-08,,3,,
8,45,57.778,9,10,2.26E-09,1.45E-08,,1,,
10,50,57.778,5,10,2.27E-09,5.54E-08,,5,,
0,10,47.222,11,10,2.27E-09,-8.71E-09,,-1,,
6,5,36.667,9,10,2.29E-09,8.75E-09,,1,,
8,50,57.778,11,10,2.37E-09,-1.57E-08,,-1,,
10,40,57.778,7,10,2.38E-09,3.85E-08,,3,,
10,45,57.778,5,10,2.39E-09,5.63E-08,,5,,
0,5,100,11,10,2.43E-09,5.03E-10,,-1,,
0,5,100,9,10,2.46E-09,-4.60E-10,,1,,
2,5,36.667,11,10,2.50E-09,-9.17E-09,,-1,,
0,5,89.444,9,10,2.50E-09,1.07E-10,,1,,
0,5,89.444,11,10,2.51E-09,-1.79E-10,,-1,,
6,5,36.667,11,10,2.51E-09,-9.44E-09,,-1,,
0,5,5,11,10,2.54E-09,-2.23E-09,,-1,,
0,5,5,9,10,2.56E-09,2.15E-09,,1,,
8,45,57.778,11,10,2.56E-09,-1.59E-08,,-1,,
2,5,47.222,11,10,2.59E-09,-8.29E-09,,-1,,
10,5,57.778,11,10,2.66E-09,-6.76E-09,,-1,,
2,5,47.222,9,10,2.66E-09,7.70E-09,,1,,
10,35,68.333,9,10,2.67E-09,1.17E-08,,1,,
10,35,57.778,11,10,2.68E-09,-1.53E-08,,-1,,
8,40,57.778,9,10,2.73E-09,1.45E-08,,1,,
8,5,47.222,11,15,2.75E-09,4.02E-08,,4,,
8,5,36.667,9,10,2.81E-09,8.80E-09,,1,,
10,5,57.778,9,10,2.92E-09,6.18E-09,,1,,
0,10,47.222,9,10,2.96E-09,8.12E-09,,1,,
8,5,36.667,11,10,3.03E-09,-9.53E-09,,-1,,
10,35,68.333,11,10,3.04E-09,-1.29E-08,,-1,,
0,10,36.667,9,10,3.12E-09,8.93E-09,,1,,
0,5,36.667,9,10,3.14E-09,8.35E-09,,1,,
10,40,57.778,5,10,3.17E-09,5.68E-08,,5,,
0,10,36.667,11,10,3.18E-09,-9.59E-09,,-1,,
10,50,47.222,9,10,3.18E-09,1.58E-08,,1,,
8,40,57.778,11,10,3.18E-09,-1.58E-08,,-1,,
8,50,47.222,9,10,3.20E-09,1.61E-08,,1,,
0,5,78.889,9,10,3.26E-09,1.43E-09,,1,,
8,5,57.778,11,10,3.27E-09,-6.70E-09,,-1,,
10,45,47.222,9,10,3.29E-09,1.60E-08,,1,,
10,50,47.222,11,10,3.37E-09,-1.73E-08,,-1,,
10,5,36.667,9,10,3.37E-09,8.81E-09,,1,,
0,5,78.889,11,10,3.40E-09,-1.66E-09,,-1,,
8,45,47.222,9,10,3.43E-09,1.63E-08,,1,,
0,5,36.667,11,10,3.45E-09,-9.01E-09,,-1,,
10,50,57.778,3,10,3.49E-09,6.74E-08,,7,,
10,45,57.778,3,10,3.51E-09,6.85E-08,,7,,
8,5,47.222,7,15,3.51E-09,7.07E-08,,8,,
10,45,47.222,11,10,3.52E-09,-1.75E-08,,-1,,
10,5,36.667,11,10,3.57E-09,-9.58E-09,,-1,,
10,50,78.889,9,10,3.58E-09,9.68E-09,,1,,
8,50,47.222,11,10,3.60E-09,-1.77E-08,,-1,,
8,5,57.778,9,10,3.62E-09,6.17E-09,,1,,
0,5,47.222,9,10,3.62E-09,7.53E-09,,1,,
10,45,78.889,9,10,3.64E-09,9.89E-09,,1,,
10,40,47.222,9,10,3.64E-09,1.61E-08,,1,,
6,5,57.778,11,10,3.64E-09,-6.62E-09,,-1,,
2,5,5,11,10,3.66E-09,-2.39E-09,,-1,,
10,5,47.222,7,15,3.69E-09,7.14E-08,,8,,
10,50,78.889,11,10,3.69E-09,-1.08E-08,,-1,,
2,5,5,9,10,3.71E-09,2.32E-09,,1,,
2,5,89.444,11,10,3.73E-09,-3.38E-10,,-1,,
0,5,47.222,11,10,3.75E-09,-8.13E-09,,-1,,
2,10,47.222,11,10,3.77E-09,-8.97E-09,,-1,,
10,45,78.889,11,10,3.77E-09,-1.11E-08,,-1,,
2,5,89.444,9,10,3.80E-09,2.74E-10,,1,,
8,50,68.333,9,10,3.81E-09,1.21E-08,,1,,
2,5,100,11,10,3.83E-09,3.43E-10,,-1,,
10,30,57.778,9,10,3.83E-09,1.31E-08,,1,,
4,5,57.778,11,10,3.86E-09,-6.50E-09,,-1,,
10,5,47.222,11,15,3.87E-09,4.09E-08,,4,,
8,45,68.333,9,10,3.87E-09,1.22E-08,,1,,
8,45,47.222,11,10,3.88E-09,-1.78E-08,,-1,,
2,5,100,9,10,3.89E-09,-2.93E-10,,1,,
10,5,47.222,9,15,3.91E-09,5.76E-08,,6,,
10,40,78.889,9,10,3.91E-09,9.97E-09,,1,,
8,35,57.778,9,10,3.92E-09,1.40E-08,,1,,
8,50,68.333,11,10,3.93E-09,-1.34E-08,,-1,,
10,40,47.222,11,10,3.96E-09,-1.76E-08,,-1,,
10,40,57.778,3,10,3.97E-09,6.91E-08,,7,,
6,5,57.778,9,10,4.03E-09,6.12E-09,,1,,
8,45,68.333,11,10,4.03E-09,-1.35E-08,,-1,,
2,5,78.889,11,10,4.05E-09,-1.82E-09,,-1,,
6,50,57.778,9,10,4.05E-09,1.46E-08,,1,,
8,40,47.222,9,10,4.06E-09,1.63E-08,,1,,
2,5,78.889,9,10,4.07E-09,1.60E-09,,1,,
10,40,78.889,11,10,4.11E-09,-1.11E-08,,-1,,
10,5,68.333,11,10,4.11E-09,-4.39E-09,,-1,,
2,5,57.778,11,10,4.13E-09,-6.35E-09,,-1,,
10,5,47.222,5,15,4.16E-09,8.19E-08,,10,,
8,40,68.333,9,10,4.17E-09,1.22E-08,,1,,
6,5,47.222,11,15,4.17E-09,3.96E-08,,4,,
4,5,57.778,9,10,4.20E-09,6.02E-09,,1,,
6,45,57.778,9,10,4.22E-09,1.47E-08,,1,,
6,50,57.778,11,10,4.24E-09,-1.60E-08,,-1,,
10,5,68.333,9,10,4.24E-09,3.93E-09,,1,,
6,50,47.222,9,10,4.24E-09,1.64E-08,,1,,
10,5,47.222,5,10,4.26E-09,3.23E-08,,5,,
10,45,57.778,1,10,4.29E-09,7.46E-08,,9,,
2,10,47.222,9,10,4.29E-09,8.36E-09,,1,,
2,5,57.778,9,10,4.30E-09,5.88E-09,,1,,
6,5,47.222,9,15,4.32E-09,5.61E-08,,6,,
10,50,57.778,1,10,4.32E-09,7.33E-08,,9,,
10,30,68.333,9,10,4.36E-09,1.08E-08,,1,,
0,5,68.333,9,10,4.38E-09,3.46E-09,,1,,
2,5,26.111,9,10,4.38E-09,7.97E-09,,1,,
0,5,26.111,9,10,4.44E-09,7.80E-09,,1,,
8,40,68.333,11,10,4.44E-09,-1.35E-08,,-1,,
10,10,47.222,9,10,4.45E-09,8.76E-09,,1,,
6,45,57.778,11,10,4.49E-09,-1.61E-08,,-1,,
0,5,68.333,11,10,4.49E-09,-3.82E-09,,-1,,
10,35,47.222,9,10,4.51E-09,1.58E-08,,1,,
2,5,68.333,11,10,4.52E-09,-3.98E-09,,-1,,
10,30,57.778,11,10,4.53E-09,-1.42E-08,,-1,,
10,40,57.778,1,10,4.55E-09,7.52E-08,,9,,
6,45,47.222,9,10,4.56E-09,1.66E-08,,1,,
8,5,47.222,7,10,4.56E-09,2.18E-08,,3,,
8,35,57.778,11,10,4.60E-09,-1.52E-08,,-1,,
2,5,68.333,9,10,4.60E-09,3.63E-09,,1,,
0,5,15.556,9,10,4.60E-09,5.68E-09,,1,,
0,5,57.778,9,10,4.61E-09,5.71E-09,,1,,
8,5,68.333,11,10,4.63E-09,-4.34E-09,,-1,,
8,40,47.222,11,10,4.63E-09,-1.78E-08,,-1,,
10,10,57.778,9,10,4.64E-09,6.94E-09,,1,,
0,10,57.778,11,10,4.64E-09,-6.76E-09,,-1,,
6,10,89.444,7,40,4.65E-09,2.25E-07,,33,,
0,5,57.778,11,10,4.66E-09,-6.19E-09,,-1,,
2,5,26.111,11,10,4.67E-09,-8.52E-09,,-1,,
6,50,47.222,11,10,4.69E-09,-1.80E-08,,-1,,
4,5,5,11,10,4.71E-09,-2.54E-09,,-1,,
10,35,78.889,9,10,4.72E-09,9.68E-09,,1,,
4,5,68.333,11,10,4.72E-09,-4.13E-09,,-1,,
4,5,78.889,11,10,4.72E-09,-1.97E-09,,-1,,
0,5,26.111,11,10,4.72E-09,-8.36E-09,,-1,,
0,5,15.556,11,10,4.73E-09,-6.00E-09,,-1,,
4,5,89.444,11,10,4.75E-09,-4.86E-10,,-1,,
4,5,5,9,10,4.76E-09,2.46E-09,,1,,
10,10,57.778,11,10,4.78E-09,-7.67E-09,,-1,,
6,40,57.778,9,10,4.78E-09,1.46E-08,,1,,
4,5,26.111,9,10,4.78E-09,8.11E-09,,1,,
10,10,47.222,11,10,4.79E-09,-9.61E-09,,-1,,
6,5,68.333,11,10,4.81E-09,-4.25E-09,,-1,,
8,5,68.333,9,10,4.82E-09,3.92E-09,,1,,
4,5,78.889,9,10,4.82E-09,1.74E-09,,1,,
4,5,89.444,9,10,4.83E-09,4.14E-10,,1,,
4,10,47.222,11,10,4.84E-09,-9.19E-09,,-1,,
10,35,57.778,7,10,4.87E-09,3.78E-08,,3,,
10,5,78.889,9,10,4.87E-09,1.90E-09,,1,,
2,10,36.667,9,10,4.87E-09,9.18E-09,,1,,
10,5,78.889,11,10,4.90E-09,-2.23E-09,,-1,,
10,30,68.333,11,10,4.90E-09,-1.19E-08,,-1,,
2,10,36.667,11,10,4.92E-09,-9.85E-09,,-1,,
4,5,68.333,9,10,4.92E-09,3.77E-09,,1,,
4,5,100,11,10,4.96E-09,1.95E-10,,-1,,
8,10,47.222,9,10,4.96E-09,8.70E-09,,1,,
0,10,47.222,11,15,4.99E-09,3.98E-08,,4,,
4,5,100,9,10,4.99E-09,-1.53E-10,,1,,
10,35,47.222,11,10,5.00E-09,-1.72E-08,,-1,,
10,50,68.333,7,10,5.01E-09,3.13E-08,,3,,
4,5,26.111,11,10,5.02E-09,-8.67E-09,,-1,,
10,45,68.333,7,10,5.03E-09,3.19E-08,,3,,
6,5,68.333,9,10,5.04E-09,3.87E-09,,1,,
10,35,78.889,11,10,5.07E-09,-1.07E-08,,-1,,
2,5,15.556,9,10,5.08E-09,5.84E-09,,1,,
6,45,47.222,11,10,5.08E-09,-1.81E-08,,-1,,
8,35,68.333,9,10,5.10E-09,1.17E-08,,1,,
10,50,89.444,9,10,5.12E-09,8.35E-09,,1,,
4,10,47.222,9,10,5.12E-09,8.53E-09,,1,,
6,5,78.889,11,10,5.16E-09,-2.09E-09,,-1,,
2,5,15.556,11,10,5.17E-09,-6.16E-09,,-1,,
8,10,47.222,11,10,5.20E-09,-9.48E-09,,-1,,
10,45,89.444,9,10,5.21E-09,8.57E-09,,1,,
8,5,78.889,11,10,5.22E-09,-2.18E-09,,-1,,
6,40,57.778,11,10,5.23E-09,-1.59E-08,,-1,,
0,10,57.778,9,10,5.24E-09,6.30E-09,,1,,
6,5,78.889,9,10,5.25E-09,1.84E-09,,1,,
10,5,47.222,3,15,5.25E-09,8.90E-08,,12,,
8,5,78.889,9,10,5.26E-09,1.89E-09,,1,,
6,10,47.222,9,10,5.29E-09,8.63E-09,,1,,
6,10,47.222,11,10,5.29E-09,-9.35E-09,,-1,,
4,5,36.667,7,10,5.35E-09,2.37E-08,,3,,
6,5,26.111,9,10,5.36E-09,8.21E-09,,1,,
10,50,89.444,11,10,5.37E-09,-9.35E-09,,-1,,
10,40,68.333,7,10,5.40E-09,3.21E-08,,3,,
6,40,47.222,9,10,5.40E-09,1.64E-08,,1,,
8,35,47.222,9,10,5.42E-09,1.58E-08,,1,,
6,5,89.444,11,10,5.43E-09,-6.09E-10,,-1,,
10,5,89.444,9,10,5.44E-09,5.75E-10,,1,,
4,50,47.222,9,10,5.44E-09,1.67E-08,,1,,
6,5,89.444,9,10,5.45E-09,5.12E-10,,1,,
10,45,89.444,11,10,5.48E-09,-9.57E-09,,-1,,
6,5,5,11,10,5.51E-09,-2.66E-09,,-1,,
6,5,5,9,10,5.52E-09,2.56E-09,,1,,
10,40,89.444,9,10,5.54E-09,8.64E-09,,1,,
6,5,26.111,11,10,5.56E-09,-8.79E-09,,-1,,
10,5,89.444,11,10,5.56E-09,-7.48E-10,,-1,,
8,50,78.889,9,10,5.58E-09,1.00E-08,,1,,
8,35,68.333,11,10,5.58E-09,-1.29E-08,,-1,,
4,50,57.778,9,10,5.60E-09,1.49E-08,,1,,
8,5,89.444,9,10,5.64E-09,5.62E-10,,1,,
6,5,100,9,10,5.68E-09,-5.47E-11,,1,,
10,25,57.778,9,10,5.68E-09,1.15E-08,,1,,
8,45,78.889,9,10,5.68E-09,1.02E-08,,1,,
2,10,57.778,11,10,5.69E-09,-7.03E-09,,-1,,
8,5,89.444,11,10,5.70E-09,-6.95E-10,,-1,,
6,5,100,11,10,5.72E-09,7.31E-11,,-1,,
6,50,68.333,9,10,5.74E-09,1.24E-08,,1,,
4,50,57.778,11,10,5.75E-09,-1.63E-08,,-1,,
2,5,36.667,7,10,5.77E-09,2.33E-08,,3,,
4,5,15.556,9,10,5.78E-09,5.98E-09,,1,,
8,50,57.778,7,10,5.78E-09,3.86E-08,,3,,
8,50,78.889,11,10,5.81E-09,-1.12E-08,,-1,,
10,5,100,9,10,5.83E-09,8.18E-12,,1,,
4,5,15.556,11,10,5.84E-09,-6.30E-09,,-1,,
4,45,57.778,9,10,5.85E-09,1.49E-08,,1,,
8,30,57.778,9,10,5.85E-09,1.28E-08,,1,,
6,45,68.333,9,10,5.85E-09,1.25E-08,,1,,
8,10,57.778,11,10,5.85E-09,-7.54E-09,,-1,,
4,50,47.222,11,10,5.86E-09,-1.82E-08,,-1,,
4,45,47.222,9,10,5.87E-09,1.67E-08,,1,,
8,10,57.778,9,10,5.87E-09,6.88E-09,,1,,
6,50,68.333,11,10,5.88E-09,-1.37E-08,,-1,,
10,40,89.444,11,10,5.89E-09,-9.63E-09,,-1,,
8,5,26.111,9,10,5.92E-09,8.26E-09,,1,,
8,5,5,9,10,5.94E-09,2.61E-09,,1,,
8,45,78.889,11,10,5.94E-09,-1.14E-08,,-1,,
8,5,100,9,10,5.94E-09,-4.87E-12,,1,,
10,50,100,9,10,5.97E-09,7.79E-09,,1,,
8,5,5,11,10,6.00E-09,-2.75E-09,,-1,,
8,45,57.778,7,10,6.02E-09,3.91E-08,,3,,
6,45,68.333,11,10,6.04E-09,-1.38E-08,,-1,,
10,30,47.222,9,10,6.04E-09,1.49E-08,,1,,
10,5,100,11,10,6.05E-09,-6.60E-11,,-1,,
8,40,78.889,9,10,6.06E-09,1.02E-08,,1,,
10,5,5,9,10,6.06E-09,2.62E-09,,1,,
10,45,100,9,10,6.07E-09,8.00E-09,,1,,
6,40,47.222,11,10,6.08E-09,-1.78E-08,,-1,,
8,5,100,11,10,6.08E-09,-1.31E-11,,-1,,
10,5,47.222,3,10,6.08E-09,3.94E-08,,7,,
10,5,47.222,1,15,6.09E-09,9.26E-08,,14,,
0,10,26.111,9,10,6.09E-09,8.39E-09,,1,,
4,45,57.778,11,10,6.10E-09,-1.63E-08,,-1,,
8,5,26.111,11,10,6.10E-09,-8.88E-09,,-1,,
0,10,68.333,11,10,6.11E-09,-4.40E-09,,-1,,
6,35,57.778,9,10,6.12E-09,1.38E-08,,1,,
4,10,36.667,9,10,6.14E-09,9.34E-09,,1,,
8,35,47.222,11,10,6.16E-09,-1.72E-08,,-1,,
6,5,47.222,7,10,6.16E-09,2.17E-08,,3,,
10,5,5,11,10,6.18E-09,-2.80E-09,,-1,,
0,10,26.111,11,10,6.28E-09,-8.94E-09,,-1,,
6,40,68.333,9,10,6.29E-09,1.23E-08,,1,,
2,10,57.778,9,10,6.29E-09,6.54E-09,,1,,
4,10,36.667,11,10,6.30E-09,-1.01E-08,,-1,,
10,25,57.778,11,10,6.34E-09,-1.26E-08,,-1,,
2,50,47.222,9,10,6.34E-09,1.68E-08,,1,,
10,35,57.778,5,10,6.35E-09,5.59E-08,,5,,
10,15,57.778,9,10,6.36E-09,8.07E-09,,1,,
10,50,100,11,10,6.36E-09,-8.67E-09,,-1,,
10,50,36.667,9,10,6.37E-09,1.66E-08,,1,,
4,10,57.778,11,10,6.38E-09,-7.24E-09,,-1,,
6,5,36.667,7,10,6.39E-09,2.39E-08,,3,,
10,30,78.889,9,10,6.39E-09,8.77E-09,,1,,
4,45,47.222,11,10,6.40E-09,-1.82E-08,,-1,,
8,40,78.889,11,10,6.41E-09,-1.13E-08,,-1,,
10,25,68.333,9,10,6.41E-09,9.26E-09,,1,,
10,40,100,9,10,6.43E-09,8.08E-09,,1,,
6,10,57.778,11,10,6.43E-09,-7.41E-09,,-1,,
10,5,26.111,9,10,6.44E-09,8.27E-09,,1,,
10,35,89.444,9,10,6.44E-09,8.36E-09,,1,,
6,5,15.556,9,10,6.46E-09,6.08E-09,,1,,
10,5,57.778,11,15,6.47E-09,3.24E-08,,4,,
10,10,68.333,9,10,6.47E-09,4.69E-09,,1,,
10,45,36.667,9,10,6.49E-09,1.68E-08,,1,,
10,45,100,11,10,6.49E-09,-8.89E-09,,-1,,
0,10,68.333,9,10,6.50E-09,4.05E-09,,1,,
6,5,15.556,11,10,6.51E-09,-6.43E-09,,-1,,
6,10,100,11,40,6.53E-09,1.61E-07,,29,,
10,50,36.667,11,10,6.55E-09,-1.82E-08,,-1,,
10,10,68.333,11,10,6.57E-09,-5.30E-09,,-1,,
4,40,57.778,9,10,6.59E-09,1.45E-08,,1,,
10,5,26.111,11,10,6.59E-09,-8.93E-09,,-1,,
8,50,36.667,9,10,6.60E-09,1.69E-08,,1,,
6,40,68.333,11,10,6.62E-09,-1.35E-08,,-1,,
8,30,57.778,11,10,6.63E-09,-1.39E-08,,-1,,
2,50,57.778,9,10,6.63E-09,1.50E-08,,1,,
6,10,57.778,9,10,6.66E-09,6.81E-09,,1,,
10,30,47.222,11,10,6.68E-09,-1.62E-08,,-1,,
10,45,36.667,11,10,6.70E-09,-1.84E-08,,-1,,
10,20,57.778,9,10,6.70E-09,9.70E-09,,1,,
0,10,78.889,11,10,6.71E-09,-2.24E-09,,-1,,
10,50,57.778,11,15,6.75E-09,7.49E-08,,4,,
2,50,47.222,11,10,6.76E-09,-1.83E-08,,-1,,
2,50,57.778,11,10,6.76E-09,-1.64E-08,,-1,,
10,15,57.778,11,10,6.77E-09,-8.96E-09,,-1,,
0,50,47.222,9,10,6.79E-09,1.69E-08,,1,,
8,45,36.667,9,10,6.81E-09,1.71E-08,,1,,
6,35,57.778,11,10,6.81E-09,-1.50E-08,,-1,,
4,10,57.778,9,10,6.82E-09,6.71E-09,,1,,
6,5,47.222,7,15,6.85E-09,6.99E-08,,8,,
4,10,78.889,7,35,6.85E-09,2.10E-07,,28,,
10,40,36.667,9,10,6.86E-09,1.69E-08,,1,,
6,10,36.667,9,10,6.87E-09,9.45E-09,,1,,
8,30,68.333,9,10,6.88E-09,1.05E-08,,1,,
10,30,78.889,11,10,6.90E-09,-9.71E-09,,-1,,
